Category: All categories

Day,Milkshake: (United States),Hamburger: (United States)
2026-03-07,28,94
2026-03-08,28,100
2026-03-09,24,76
2026-03-10,25,73
2026-03-11,23,69
2026-03-12,24,69
2026-03-13,25,69
2026-03-14,29,87
2026-03-15,31,82
2026-03-16,22,65
2026-03-17,32,67
2026-03-18,27,66
2026-03-19,22,63
2026-03-20,25,66
2026-03-21,27,90
2026-03-22,27,87
2026-03-23,23,65
2026-03-24,23,68
2026-03-25,23,63
2026-03-26,23,63
2026-03-27,22,60
2026-03-28,25,81
2026-03-29,26,85
2026-03-30,24,64
2026-03-31,22,60
2026-04-01,22,60
2026-04-02,21,61
2026-04-03,23,62
2026-04-04,24,78
2026-04-05,21,68
2026-04-06,21,60
2026-04-07,20,46

